Subtrate	Name_in_Model	Substrate_type	Growth_Biolog	Growth_Model
Glutathione	glutathione	S	G	NG
N-Acetyl-D,L-Methionine	N(alpha)-acetyl-L-methionine	S	G	NG
L-Methionine Sulfoxide	L-Methionine S-oxide	S	NG	NG
Glycyl-L-Methionine	Gly-Met	S	G	NG
Taurine	tetrathionate	S	G	NG
D-Cysteine		S	NG	NG
Dithiophosphate		S	G	NG
Cystathionine		S	NG	NG
Cysteamine		S	NG	NG
L-Cysteine Sulfinic Acid	3-sulfino-L-alanine	S	G	NG
Thiophosphate		S	G	NG
Lanthionine		S	NG	NG
N-Acetyl-L-Cysteine	N-acetyl-L-cysteine	S	G	NG
Thiourea		S	G	NG
1-Thio-β-D-Glucose		S	G	NG
Taurocholic Acid	taurocholic acid	S	NG	NG
Butane Sulfonic Acid		S	G	NG
D,L-Lipoamide	lipoamide	S	G	NG
L-Djenkolic Acid		S	NG	NG
Methane Sulfonic Acid		S	NG	NG
L-Cysteic Acid	L-cysteate	S	G	NG
p-Amino Benzene Sulfonic Acid		S	NG	NG
D,L-Ethionine		S	NG	NG
2-Hydroxyethane Sulfonic Acid	2-hydroxyethane-1-sulfonate	S	G	NG
Tetramethylene Sulfone		S	NG	NG
L-Methionine Sulfone	L-Methionine S-oxide	S	G	NG
Ethanol	ethanol	C	G	G
D-Raffinose 	raffinose	C	G	G
D-Cellobise		C	G	NG
sodium acetate	acetate	C	G	G
