s_1098[m],lpro[m]
s_1099[c],lystrna[c]
s_1100[m],lystrna[m]
s_1101[c],malcoa[c]
s_1104[m],malcoa[m]
s_1105[c],malt[c]
s_1106[e],malt[e]
s_1107[c],mannan[c]
s_1108[r],mannan[r]
s_1109[r],man2mi1p__D[r]
s_1110[m],man2mi1p__D[m]
s_1111[r],manmi1p__D[r]
s_1112[m],manmi1p__D[m]
s_1114[g],manphobac[g]
s_1116[r],manphoac24[r]
s_1117[g],manphoac24[g]
s_1118[m],manphoac24[m]
s_1119[r],manphoac26[r]
s_1120[g],manphoac26[g]
s_1121[m],manphoac26[m]
s_1122[r],manphobc24[r]
s_1123[g],manphobc24[g]
s_1124[m],manphobc24[m]
s_1125[r],manphobc26[r]
s_1126[g],manphobc26[g]
s_1127[m],manphobc26[m]
s_1128[r],manphosbc24[r]
s_1129[g],manphosbc24[g]
s_1130[m],manphosbc24[m]
s_1131[r],manphosbc26[r]
s_1132[g],manphosbc26[g]
s_1133[m],manphosbc26[m]
s_1134[r],manphocc24[r]
s_1135[g],manphocc24[g]
s_1136[m],manphocc24[m]
s_1137[r],manphocc26[r]
s_1138[g],manphocc26[g]
s_1139[m],manphocc26[m]
s_1140[r],manphodc24[r]
s_1141[g],manphodc24[g]
s_1142[m],manphodc24[m]
s_1143[r],manphodc26[r]
s_1144[g],manphodc26[g]
s_1145[m],manphodc26[m]
s_1148[c],mettrna[c]
s_1149[m],mettrna[m]
s_1150[c],ch4s[c]
s_1151[c],mthgxl[c]
s_1153[c],inost[c]
s_1154[e],inost[e]
s_1156[c],inospp1[c]
s_1157[n],inospp1[n]
s_1158[c],minohp[c]
s_1159[n],minohp[n]
s_1161[c],ttdca[c]
s_1163[e],ttdca[e]
s_1166[x],ttdca[x]
s_1176[c],tdcoa[c]
